,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
395,4,,2,2,1,62,62,más de 30 años,1,$ 250.000 COP,"$ 6.774.193,55",$420.000.000,
396,5,En construcción,,,,,,,,,,,
397,5,,5,5,1,260,260,16 a 30 años,,$ 539.000 COP,"$ 4.730.769,23",$1.230.000.000,
398,6,,3,2,1,124,117,16 a 30 años,2,$ 600.000 COP,"$ 4.395.161,29",$545.000.000,
399,3,En construcción,,,,,,,,,,,
400,4,,3,2,,101,101,,2,No definida,"$ 3.650.495,05",$368.700.000,
401,3,,3,2,1,70,70,1 a 8 años,Otro,$ 233.971 COP,"$ 4.857.142,86",$340.000.000,
402,6,,4,7,3,456,456,16 a 30 años,6,$ 1.900.000 COP,"$ 3.464.912,28",$1.580.000.000,
403,4,Sobre planos,,,,,,,,,,,
404,6,,3,3,2,206,206,más de 30 años,4,$ 1.330.000 COP,"$ 4.126.213,59",$850.000.000,
405,3,,3,1,1,48,48,1 a 8 años,,$ 156.000 COP,"$ 4.166.666,67",$200.000.000,
406,6,,3,2,1,85,85,1 a 8 años,,$ 531.000 COP,$ 8.000.000,$680.000.000,
407,5,,2,2,1,64,64,9 a 15 años,4,$ 280.600 COP,$ 5.343.750,$342.000.000,
408,5,Sobre planos,,,,,,,,,,,
409,4,,3,2,1,90,90,16 a 30 años,3,$ 373.000 COP,"$ 4.333.333,33",$390.000.000,
410,6,,4,4,3,305,305,9 a 15 años,12,$ 1.100.000 COP,"$ 7.049.180,33",$2.150.000.000,
411,3,,3,2,,105,105,16 a 30 años,,No definida,"$ 2.285.714,29",$240.000.000,
412,3,,2,1,,37,37,1 a 8 años,,$ 210.000 COP,"$ 5.945.945,95",$220.000.000,
413,3,,2,2,1,60,0,9 a 15 años,,No definida,$ 5.500.000,$330.000.000,
414,5,Sobre planos,,,,,,,,,,,
415,4,,3,2,1,64,64,9 a 15 años,Otro,$ 229.000 COP,$ 4.375.000,$280.000.000,
416,4,,3,2,1,86,86,1 a 8 años,,$ 348.000 COP,"$ 6.046.511,63",$520.000.000,
417,6,,2,4,3,135,135,1 a 8 años,3,$ 865.000 COP,"$ 7.036.301,48",$949.900.700,
418,4,,3,2,1,78,78,1 a 8 años,,$ 227.000 COP,"$ 5.038.461,54",$393.000.000,
419,6,,3,3,2,167,167,1 a 8 años,11,$ 1.843.000 COP,"$ 9.497.005,99",$1.586.000.000,
420,5,Sobre planos,,,,,,,,,,,
421,4,,2,1,,42,42,9 a 15 años,,$ 97.000 COP,$ 5.000.000,$210.000.000,
422,3,,3,1,,69,69,16 a 30 años,,No definida,"$ 3.681.159,42",$254.000.000,
423,6,,4,3,1,102,0,más de 30 años,7,$ 408.800 COP,"$ 5.784.313,73",$590.000.000,
424,5,,3,3,2,140,140,más de 30 años,1,$ 495.000 COP,"$ 3.428.571,43",$480.000.000,
425,6,,4,5,4,280,0,16 a 30 años,,$ 857.000 COP,$ 4.000.000,$1.120.000.000,
426,4,,3,2,1,119,119,1 a 8 años,,$ 260.000 COP,"$ 5.630.252,1",$670.000.000,
427,5,,3,2,,100,0,,3,$ 190.000.000 COP,$ 5.500.000,$550.000.000,
428,6,Excelente,3,3,3,160,160,1 a 8 años,16,$ 1.078.000 COP,$ 11.250.000,$1.800.000.000,
429,4,En construcción,,,,,,,,,,,
430,4,,3,2,1,55,55,9 a 15 años,14,$ 194.500 COP,"$ 5.454.545,45",$300.000.000,
431,4,,3,2,1,99,0,9 a 15 años,10,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
432,5,Sobre planos,,,,,,,,,,,
433,5,,3,3,2,185,185,más de 30 años,6,$ 433.000 COP,"$ 4.216.216,22",$780.000.000,
434,4,,3,2,1,85,0,,3,$ 72.000 COP,"$ 4.705.882,35",$400.000.000,
435,6,,4,5,2,270,270,más de 30 años,7,No definida,"$ 8.518.518,52",$2.300.000.000,Duplex
436,5,Sobre planos,,,,,,,,,,,
437,6,,4,4,1,188,188,más de 30 años,8,$ 781.000 COP,"$ 4.680.851,06",$880.000.000,
438,6,,3,4,2,173,173,9 a 15 años,,$ 750.000 COP,"$ 5.433.526,01",$940.000.000,
439,6,,3,4,3,300,300,1 a 8 años,,$ 1.215.000 COP,"$ 9.766.666,67",$2.930.000.000,
440,4,,1,2,,49,49,1 a 8 años,8,$ 150.000 COP,"$ 5.306.122,45",$260.000.000,
441,5,Sobre planos,,,,,,,,,,,
442,5,,3,2,1,138,0,16 a 30 años,6,$ 348.550 COP,"$ 3.913.043,48",$540.000.000,
443,3,,2,1,,38,38,1 a 8 años,8,$ 115.000 COP,"$ 3.578.947,37",$136.000.000,
444,6,,1,2,1,91,0,,14,$ 526.500 COP,"$ 8.736.263,74",$795.000.000,
445,3,,3,3,1,87,0,,4,$ 225.000 COP,"$ 4.252.873,56",$370.000.000,
446,4,,3,2,2,86,0,,7,$ 390.000 COP,"$ 6.151.162,79",$529.000.000,
447,5,En construcción,,,,,,,,,,,
448,3,,3,1,1,78,78,16 a 30 años,3,No definida,"$ 3.205.128,21",$250.000.000,
449,4,,3,2,1,53,54,1 a 8 años,Otro,$ 182.000 COP,"$ 5.660.377,36",$300.000.000,
450,4,,3,1,2,65,0,,1,$ 179.000 COP,"$ 3.538.461,54",$230.000.000,
451,3,,3,2,1,58,58,9 a 15 años,13,$ 240.000 COP,"$ 4.827.586,21",$280.000.000,
452,5,,3,4,2,200,200,más de 30 años,,$ 720.000 COP,$ 4.250.000,$850.000.000,
453,4,Sobre planos,,,,,,,,,,,
454,2,,3,1,,47,47,1 a 8 años,2,$ 18.000 COP,"$ 2.765.957,45",$130.000.000,
455,3,,3,1,,75,75,16 a 30 años,3,No definida,$ 3.400.000,$255.000.000,
456,4,,3,2,1,67,0,,Otro,$ 220.000 COP,"$ 4.746.268,66",$318.000.000,
457,2,,2,1,,42,42,1 a 8 años,1,$ 58.000 COP,"$ 3.809.523,81",$160.000.000,
458,6,,3,4,3,210,210,1 a 8 años,,No definida,"$ 6.904.761,9",$1.450.000.000,
459,5,,4,3,2,106,106,,4,$ 410.000 COP,"$ 5.377.358,49",$570.000.000,
460,5,,2,3,1,91,91,,1,$ 300.000 COP,"$ 6.978.021,98",$635.000.000,
461,5,,2,2,,100,0,,5,$ 190.000 COP,$ 5.800.000,$580.000.000,
462,5,Sobre planos,,,,,,,,,,,
463,6,,3,3,2,244,244,16 a 30 años,,$ 750.000 COP,"$ 4.508.196,72",$1.100.000.000,
464,4,,4,4,1,262,142,1 a 8 años,6,$ 280.000 COP,"$ 4.580.152,67",$1.200.000.000,PentHouse
465,5,Sobre planos,,,,,,,,,,,
466,5,,3,2,1,63,63,16 a 30 años,1,$ 250.000 COP,"$ 6.317.460,32",$398.000.000,
467,5,,5,7,2,285,285,1 a 8 años,8,$ 1.200.000 COP,"$ 5.087.719,3",$1.450.000.000,
468,5,,3,2,1,100,100,1 a 8 años,4,$ 231.000 COP,$ 5.100.000,$510.000.000,
469,5,Sobre planos,,,,,,,,,,,
470,4,,3,2,1,75,75,1 a 8 años,5,$ 270.000 COP,$ 5.800.000,$435.000.000,
471,4,,3,2,1,70,0,,4,$ 261.500 COP,"$ 4.857.142,86",$340.000.000,
472,5,,3,4,2,156,156,1 a 8 años,2,$ 889.000 COP,"$ 5.512.820,51",$860.000.000,
473,4,,3,2,1,76,76,más de 30 años,3,$ 185.000 COP,"$ 4.210.526,32",$320.000.000,
474,3,En construcción,,,,,,,,,,,
475,4,,3,2,1,75,75,1 a 8 años,,$ 270.000 COP,$ 5.800.000,$435.000.000,
476,5,,4,2,2,125,125,16 a 30 años,4,$ 100.000 COP,$ 3.760.000,$470.000.000,
477,6,Excelente,3,2,1,96,0,menor a 1 año,13,$ 600.000 COP,"$ 7.708.333,33",$740.000.000,
478,4,,3,2,1,73,73,1 a 8 años,Otro,$ 225.600 COP,"$ 5.273.972,6",$385.000.000,
479,5,,3,4,2,200,200,más de 30 años,2,$ 720.000 COP,$ 4.250.000,$850.000.000,
480,5,En construcción,,,,,,,,,,,
481,5,,2,2,1,68,68,1 a 8 años,16,No definida,"$ 7.058.823,53",$480.000.000,
482,5,,3,2,1,98,98,,4,$ 231.000 COP,"$ 5.204.081,63",$510.000.000,
483,4,,2,2,,55,55,,8,No definida,"$ 3.454.545,45",$190.000.000,
484,5,,3,4,2,200,200,más de 30 años,,$ 720.000 COP,$ 4.250.000,$850.000.000,
485,5,,3,3,1,97,97,16 a 30 años,7,$ 281.000 COP,"$ 5.463.917,53",$530.000.000,
486,4,En construcción,,,,,,,,,,,
487,5,,3,2,2,107,130,1 a 8 años,5,$ 407.175 COP,"$ 6.074.766,36",$650.000.000,
488,4,,3,2,2,84,84,9 a 15 años,1,$ 260.000 COP,"$ 5.714.285,71",$480.000.000,
489,5,,3,3,1,130,130,9 a 15 años,,$ 311.000 COP,"$ 5.769.230,77",$750.000.000,
490,5,,3,2,1,96,96,9 a 15 años,6,$ 500.000 COP,$ 6.562.500,$630.000.000,
491,6,,3,5,2,164,164,9 a 15 años,11,$ 684.000 COP,"$ 7.317.073,17",$1.200.000.000,
492,6,,1,2,,112,0,,,No definida,"$ 13.392.857,14",$1.500.000.000,
493,5,,2,2,1,60,60,más de 30 años,3,$ 180.000 COP,"$ 5.833.333,33",$350.000.000,
494,5,,3,2,1,80,80,16 a 30 años,3,$ 346.000 COP,$ 6.625.000,$530.000.000,
495,5,Sobre planos,,,,,,,,,,,
496,4,,3,2,1,68,68,1 a 8 años,,$ 230.000 COP,"$ 5.808.823,53",$395.000.000,
497,6,,3,2,1,124,117,16 a 30 años,2,$ 600.000 COP,"$ 4.395.161,29",$545.000.000,
498,5,Sobre planos,,,,,,,,,,,
499,4,,3,2,1,75,0,,Otro,$ 360.000 COP,"$ 6.666.666,67",$500.000.000,
500,4,,3,2,1,60,60,9 a 15 años,Otro,$ 200.000 COP,$ 5.050.000,$303.000.000,
501,4,,3,2,1,84,84,,,$ 280.000 COP,"$ 6.904.761,9",$580.000.000,
502,5,En construcción,,,,,,,,,,,
503,5,,4,3,1,103,103,16 a 30 años,4,$ 300.000 COP,"$ 5.825.242,72",$600.000.000,
504,5,,3,2,1,120,0,,4,$ 300.000 COP,"$ 4.083.333,33",$490.000.000,
505,3,,2,1,,40,0,,14,$ 103.000 COP,$ 3.875.000,$155.000.000,
506,4,,3,2,1,74,0,,3,$ 250.000 COP,"$ 5.810.810,81",$430.000.000,
507,5,Sobre planos,,,,,,,,,,,
508,5,,2,2,1,68,68,1 a 8 años,16,No definida,"$ 7.058.823,53",$480.000.000,
509,5,,3,2,1,67,67,9 a 15 años,4,$ 250.000 COP,"$ 6.776.119,4",$454.000.000,
510,3,,2,1,1,38,0,1 a 8 años,4,$ 80.000 COP,"$ 3.894.736,84",$148.000.000,
511,3,,3,2,1,69,0,16 a 30 años,11,$ 322.100 COP,"$ 5.681.159,42",$392.000.000,
512,5,,2,2,1,80,0,menor a 1 año,12,No definida,$ 9.375.000,$750.000.000,
513,4,Sobre planos,,,,,,,,,,,
514,5,,3,4,1,145,0,,2,$ 140.000 COP,"$ 3.793.103,45",$550.000.000,
515,3,,3,2,,58,58,1 a 8 años,Otro,$ 136.000 COP,"$ 4.310.344,83",$250.000.000,
516,5,,3,2,1,65,0,,13,No definida,"$ 8.769.230,77",$570.000.000,
517,4,,3,4,2,113,113,1 a 8 años,16,$ 336.000 COP,"$ 7.876.106,19",$890.000.000,
518,5,,3,2,1,81,0,,3,No definida,"$ 4.444.444,44",$360.000.000,
519,3,En construcción,,,,,,,,,,,
520,6,,3,4,2,200,0,1 a 8 años,7,$ 607.000 COP,$ 7.170.000,$1.434.000.000,
521,4,,3,2,1,113,0,,2,No definida,"$ 6.902.654,87",$780.000.000,
522,5,,3,3,2,102,102,16 a 30 años,7,$ 320.000 COP,"$ 5.147.058,82",$525.000.000,
523,6,,3,3,1,140,0,más de 30 años,6,$ 770.000 COP,"$ 4.964.285,71",$695.000.000,
524,6,,1,1,1,40,40,,10,No definida,$ 9.975.000,$399.000.000,
525,5,,4,3,1,126,126,más de 30 años,4,$ 150.000 COP,"$ 3.888.888,89",$490.000.000,
526,4,,3,3,1,116,116,16 a 30 años,5,$ 117.000 COP,"$ 3.103.448,28",$360.000.000,
527,6,,3,2,2,85,85,16 a 30 años,,$ 580.000 COP,"$ 5.529.411,76",$470.000.000,
528,4,Sobre planos,,,,,,,,,,,
529,5,,3,2,1,84,84,1 a 8 años,6,$ 544.000 COP,"$ 6.369.047,62",$535.000.000,
530,4,,3,2,1,99,0,9 a 15 años,10,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
531,5,Sobre planos,,,,,,,,,,,
532,4,,3,2,1,57,57,9 a 15 años,,$ 264.000 COP,"$ 6.491.228,07",$370.000.000,
533,5,,3,2,1,84,84,,,$ 454.000 COP,"$ 5.523.809,52",$464.000.000,
534,4,,3,2,1,53,53,1 a 8 años,4,$ 150.000 COP,"$ 4.716.981,13",$250.000.000,
535,4,En construcción,,,,,,,,,,,
536,4,,2,2,1,89,0,,10,$ 250.000 COP,"$ 6.516.853,93",$580.000.000,
537,3,,3,2,,57,57,1 a 8 años,4,No definida,"$ 3.859.649,12",$220.000.000,
538,5,,3,2,1,86,86,1 a 8 años,,$ 580.000 COP,"$ 5.697.674,42",$490.000.000,
539,6,,2,3,2,108,108,1 a 8 años,,$ 1 COP,"$ 8.703.703,7",$940.000.000,
540,3,En construcción,,,,,,,,,,,
541,4,,3,2,,65,65,16 a 30 años,3,$ 185.000 COP,"$ 4.692.307,69",$305.000.000,
542,3,,3,2,1,64,0,,Otro,$ 210.000 COP,$ 4.843.750,$310.000.000,
543,2,,2,1,,50,50,,Otro,No definida,$ 2.800.000,$140.000.000,
544,4,,3,2,1,72,72,1 a 8 años,Otro,$ 272.500 COP,$ 5.000.000,$360.000.000,
545,5,,3,4,,170,0,,1,$ 295.000 COP,"$ 3.470.588,24",$590.000.000,
546,5,Sobre planos,,,,,,,,,,,
547,6,,3,4,3,226,226,16 a 30 años,,$ 1.150.000 COP,"$ 6.725.663,72",$1.520.000.000,
548,5,,3,3,1,142,0,,4,$ 225.000 COP,"$ 5.070.422,54",$720.000.000,
549,3,,2,2,1,64,0,,4,$ 232.000 COP,$ 5.000.000,$320.000.000,
550,4,,2,1,,42,42,9 a 15 años,11,$ 164.900 COP,$ 5.000.000,$210.000.000,
551,4,,2,2,1,119,119,9 a 15 años,1,No definida,"$ 3.949.579,83",$470.000.000,
552,4,Sobre planos,,,,,,,,,,,
553,5,,3,2,1,89,89,1 a 8 años,Otro,$ 320.000 COP,"$ 6.292.134,83",$560.000.000,
554,4,,3,2,,70,70,16 a 30 años,2,$ 280.000 COP,"$ 5.857.142,86",$410.000.000,
555,5,,3,2,1,78,0,1 a 8 años,Otro,$ 280.000 COP,"$ 6.089.743,59",$475.000.000,
556,4,,3,3,1,112,0,,,$ 250.000 COP,"$ 5.178.571,43",$580.000.000,
557,5,,1,2,,53,53,1 a 8 años,2,No definida,"$ 7.547.169,81",$400.000.000,
558,2,,4,1,,65,0,,,No definida,"$ 2.538.461,54",$165.000.000,
559,2,,2,1,,50,50,,Otro,No definida,$ 2.800.000,$140.000.000,
560,4,,3,2,1,71,71,más de 30 años,,$ 231.000 COP,"$ 5.774.647,89",$410.000.000,
561,5,Sobre planos,,,,,,,,,,,
562,5,,3,2,1,87,0,,,$ 365.000 COP,"$ 7.126.436,78",$620.000.000,
563,4,,3,2,2,54,54,menor a 1 año,11,$ 250.000 COP,"$ 7.037.037,04",$380.000.000,
564,5,Sobre planos,,,,,,,,,,,
565,6,Bueno,2,3,2,90,90,9 a 15 años,,$ 480.000 COP,"$ 7.222.222,22",$650.000.000,
566,6,Bueno,3,4,3,202,202,16 a 30 años,,$ 1 COP,"$ 4.356.435,64",$880.000.000,
567,6,Bueno,2,3,2,105,105,1 a 8 años,,$ 420.000 COP,$ 10.000.000,$1.050.000.000,
568,3,En construcción,,,,,,,,,,,
569,6,Bueno,3,2,1,83,83,16 a 30 años,,$ 475.000 COP,"$ 8.012.048,19",$665.000.000,
570,3,,2,2,,123,0,,2,No definida,"$ 1.951.219,51",$240.000.000,
571,6,Bueno,3,3,2,128,128,1 a 8 años,,$ 650.000 COP,$ 6.093.750,$780.000.000,
572,6,Bueno,3,2,2,108,108,16 a 30 años,,$ 642.000 COP,"$ 4.907.407,41",$530.000.000,
573,5,En construcción,,,,,,,,,,,
574,6,Bueno,3,2,1,112,112,más de 30 años,,$ 411.000 COP,"$ 5.535.714,29",$620.000.000,
575,4,,3,2,1,94,94,más de 30 años,,$ 340.000 COP,"$ 4.734.042,55",$445.000.000,
576,6,Bueno,2,2,1,72,72,más de 30 años,,$ 300.000 COP,"$ 6.458.333,33",$465.000.000,
577,6,Bueno,3,4,2,131,131,9 a 15 años,,$ 712.000 COP,"$ 7.862.595,42",$1.030.000.000,
578,3,,3,2,,55,55,,,No definida,"$ 3.454.545,45",$190.000.000,
579,4,En construcción,,,,,,,,,,,
580,5,,2,2,,93,93,,,No definida,"$ 6.344.086,02",$590.000.000,
581,6,Bueno,3,4,2,183,183,16 a 30 años,,$ 700.000 COP,"$ 4.644.808,74",$850.000.000,
582,5,Bueno,2,3,2,161,161,1 a 8 años,,$ 758.000 COP,"$ 8.074.534,16",$1.300.000.000,
583,6,Bueno,3,2,2,100,100,16 a 30 años,,$ 582.000 COP,$ 7.900.000,$790.000.000,
584,4,Bueno,3,2,1,86,86,,,$ 400.000 COP,"$ 6.081.395,35",$523.000.000,
585,5,Sobre planos,,,,,,,,,,,
586,6,Bueno,5,5,3,428,428,16 a 30 años,,$ 2.400.000 COP,"$ 5.724.299,07",$2.450.000.000,
587,5,Bueno,3,2,1,111,111,9 a 15 años,,$ 425.000 COP,"$ 7.342.342,34",$815.000.000,
588,6,Bueno,3,4,3,362,362,16 a 30 años,,$ 1.700.000 COP,"$ 3.812.154,7",$1.380.000.000,
589,6,Bueno,3,4,2,128,128,1 a 8 años,,$ 550.000 COP,$ 9.140.625,$1.170.000.000,
590,6,Bueno,3,2,2,97,97,1 a 8 años,,$ 380.000 COP,"$ 7.010.309,28",$680.000.000,
591,6,Bueno,3,4,2,293,293,9 a 15 años,,$ 1.100.000 COP,"$ 5.904.436,86",$1.730.000.000,
592,6,Bueno,3,3,2,123,123,más de 30 años,,$ 480.000 COP,"$ 6.097.560,98",$750.000.000,
593,4,Bueno,3,4,3,220,220,1 a 8 años,,$ 950.000 COP,"$ 5.772.727,27",$1.270.000.000,
594,5,Sobre planos,,,,,,,,,,,
595,5,,2,1,1,45,0,,,$ 300.000 COP,"$ 6.333.333,33",$285.000.000,
596,3,,2,2,,65,0,16 a 30 años,2,No definida,"$ 3.846.153,85",$250.000.000,
597,5,En construcción,,,,,,,,,,,
598,6,Bueno,3,4,2,130,130,16 a 30 años,,$ 670.000 COP,"$ 5.692.307,69",$740.000.000,
599,6,Bueno,2,3,1,79,79,1 a 8 años,,$ 330.000 COP,"$ 8.417.721,52",$665.000.000,
600,5,Bueno,3,3,1,133,133,más de 30 años,,$ 650.000 COP,"$ 5.112.781,95",$680.000.000,
601,5,Sobre planos,,,,,,,,,,,
602,6,Bueno,3,2,2,94,94,9 a 15 años,,$ 500.000 COP,"$ 7.180.851,06",$675.000.000,
603,6,Bueno,4,5,2,300,300,16 a 30 años,,$ 950.000 COP,"$ 4.233.333,33",$1.270.000.000,
604,6,Bueno,3,4,2,208,208,9 a 15 años,,$ 1.007.200 COP,"$ 3.701.923,08",$770.000.000,
605,5,Bueno,3,2,2,120,120,más de 30 años,,$ 812.000 COP,$ 4.000.000,$480.000.000,
606,3,En construcción,,,,,,,,,,,
607,6,Bueno,3,4,2,244,244,16 a 30 años,,$ 1.000.000 COP,"$ 6.967.213,11",$1.700.000.000,
608,6,,3,6,,590,590,,,No definida,"$ 5.423.728,81",$3.200.000.000,
609,6,Bueno,3,2,2,108,108,16 a 30 años,,$ 642.000 COP,"$ 4.907.407,41",$530.000.000,
610,6,Bueno,3,4,3,292,292,16 a 30 años,,$ 613.000 COP,"$ 3.869.863,01",$1.130.000.000,
611,6,Bueno,3,3,2,137,137,9 a 15 años,,$ 518.000 COP,"$ 8.248.175,18",$1.130.000.000,
612,4,Sobre planos,,,,,,,,,,,
613,5,Bueno,2,3,2,170,170,1 a 8 años,,$ 600.000 COP,"$ 8.529.411,76",$1.450.000.000,
614,4,Bueno,3,2,1,86,86,,,$ 400.000 COP,"$ 6.081.395,35",$523.000.000,
615,6,Bueno,3,2,2,106,106,9 a 15 años,,$ 598.000 COP,"$ 6.981.132,08",$740.000.000,
616,4,,3,2,,82,82,,,No definida,"$ 6.097.560,98",$500.000.000,
617,6,Bueno,3,3,2,116,116,1 a 8 años,,$ 636.400 COP,"$ 8.362.068,97",$970.000.000,
618,5,Sobre planos,,,,,,,,,,,
619,6,Bueno,3,3,2,107,107,1 a 8 años,,$ 480.000 COP,"$ 7.149.532,71",$765.000.000,
620,6,Bueno,3,4,2,225,225,1 a 8 años,,$ 951.000 COP,"$ 10.177.777,78",$2.290.000.000,
621,4,Bueno,2,2,1,55,55,9 a 15 años,,$ 200.000 COP,"$ 5.272.727,27",$290.000.000,
622,6,Bueno,3,4,3,224,224,9 a 15 años,,$ 600.000 COP,"$ 6.651.785,71",$1.490.000.000,
623,6,Bueno,3,4,2,148,148,1 a 8 años,,$ 730.000 COP,"$ 5.912.162,16",$875.000.000,
624,6,Bueno,3,3,2,152,152,16 a 30 años,,$ 600.000 COP,"$ 4.046.052,63",$615.000.000,
625,6,Bueno,4,4,3,270,270,más de 30 años,,$ 970.000 COP,"$ 4.166.666,67",$1.125.000.000,
626,6,Bueno,2,3,1,90,90,9 a 15 años,,$ 600.000 COP,"$ 6.222.222,22",$560.000.000,
627,5,Sobre planos,,,,,,,,,,,
628,6,Bueno,3,3,1,117,117,16 a 30 años,,$ 480.000 COP,"$ 5.299.145,3",$620.000.000,
629,3,,2,1,,44,44,menor a 1 año,16,$ 230.000 COP,"$ 4.659.090,91",$205.000.000,
630,3,En construcción,,,,,,,,,,,
631,2,,3,2,,74,74,9 a 15 años,3,$ 194.000 COP,"$ 3.513.513,51",$260.000.000,
632,5,,3,3,1,106,0,,3,$ 235.000 COP,$ 5.000.000,$530.000.000,
633,5,,3,2,1,89,89,16 a 30 años,4,$ 320.000 COP,"$ 3.539.325,84",$315.000.000,
634,4,Sobre planos,,,,,,,,,,,
635,4,,4,3,2,150,150,,,$ 400.000 COP,$ 5.200.000,$780.000.000,
636,3,,3,2,,90,0,,2,No definida,"$ 2.777.777,78",$250.000.000,
637,4,,3,3,1,97,0,1 a 8 años,3,$ 400.000 COP,"$ 5.845.360,82",$567.000.000,
638,4,,3,3,1,63,0,más de 30 años,,$ 200.000 COP,"$ 5.238.095,24",$330.000.000,
639,5,Sobre planos,,,,,,,,,,,
640,4,,2,2,1,62,62,,9,$ 250.000 COP,"$ 6.774.193,55",$420.000.000,
641,6,,3,4,1,158,158,1 a 8 años,,No definida,"$ 7.018.987,34",$1.109.000.000,
642,4,,2,2,1,62,62,1 a 8 años,,$ 265.000 COP,"$ 6.935.483,87",$430.000.000,
643,5,Excelente,4,3,1,103,103,1 a 8 años,10,$ 386.000 COP,"$ 5.048.543,69",$520.000.000,Loft
644,6,,3,4,3,255,255,1 a 8 años,,$ 1.005.000 COP,"$ 8.431.372,55",$2.150.000.000,
645,5,Sobre planos,,,,,,,,,,,
646,4,,3,2,,58,58,16 a 30 años,11,$ 210.000 COP,"$ 4.310.344,83",$250.000.000,
647,5,,3,3,,126,0,,2,No definida,"$ 5.555.555,56",$700.000.000,
648,4,,3,2,,78,0,,2,No definida,"$ 4.230.769,23",$330.000.000,
649,6,,3,4,3,198,198,1 a 8 años,,$ 760.000 COP,$ 10.000.000,$1.980.000.000,
650,4,,3,2,1,63,63,más de 30 años,,$ 183.000 COP,"$ 5.079.365,08",$320.000.000,
651,5,En construcción,,,,,,,,,,,
652,3,,4,3,,112,0,16 a 30 años,4,$ 100.000 COP,"$ 2.946.428,57",$330.000.000,
653,3,,5,4,,100,0,,4,No definida,$ 3.400.000,$340.000.000,
654,1,,3,2,,80,0,,,No definida,$ 2.562.500,$205.000.000,
655,6,Bueno,3,3,2,125,125,16 a 30 años,,$ 532.000 COP,$ 6.400.000,$800.000.000,
656,5,,3,4,2,116,116,16 a 30 años,8,$ 389.700 COP,"$ 5.344.827,59",$620.000.000,
657,5,,3,2,1,67,67,9 a 15 años,4,$ 250.000 COP,"$ 6.776.119,4",$454.000.000,
658,6,,3,4,2,171,171,16 a 30 años,,$ 960.000 COP,"$ 7.309.941,52",$1.250.000.000,
659,5,,4,4,2,204,164,más de 30 años,,$ 570.000 COP,"$ 3.676.470,59",$750.000.000,
660,4,En construcción,,,,,,,,,,,
661,6,,3,4,2,134,134,1 a 8 años,16,$ 720.000 COP,"$ 8.917.910,45",$1.195.000.000,
662,4,,3,2,1,99,0,9 a 15 años,10,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
663,3,En construcción,,,,,,,,,,,
664,5,,3,2,1,77,77,,,$ 327.200 COP,"$ 5.844.155,84",$450.000.000,
665,3,,3,1,,53,0,,,No definida,"$ 4.245.283,02",$225.000.000,
666,5,,4,2,,100,0,,3,$ 346.000 COP,$ 4.300.000,$430.000.000,
667,4,Sobre planos,,,,,,,,,,,
668,3,,3,2,1,70,0,,7,No definida,"$ 4.571.428,57",$320.000.000,
669,3,,3,1,,63,0,,5,$ 170.000 COP,"$ 3.571.428,57",$225.000.000,
670,3,,3,3,1,85,0,,2,$ 100.000 COP,"$ 3.505.882,35",$298.000.000,
671,4,,3,2,,113,0,,2,No definida,"$ 3.451.327,43",$390.000.000,
672,5,En construcción,,,,,,,,,,,
673,2,,2,1,,55,0,,2,No definida,"$ 3.272.727,27",$180.000.000,
674,4,,3,2,1,100,0,,4,$ 152.000 COP,$ 4.100.000,$410.000.000,
675,6,,5,6,1,425,0,,2,$ 1.100.000 COP,$ 5.600.000,$2.380.000.000,
676,5,,3,2,,69,0,,3,No definida,"$ 5.217.391,3",$360.000.000,
677,3,,2,2,1,53,53,1 a 8 años,Otro,$ 180.000 COP,"$ 6.037.735,85",$320.000.000,
678,4,En construcción,,,,,,,,,,,
679,5,,3,2,,85,0,,1,No definida,"$ 4.117.647,06",$350.000.000,
680,5,,3,2,1,104,0,,3,$ 400.000 COP,"$ 6.442.307,69",$670.000.000,
681,4,,2,2,,56,0,,2,No definida,"$ 4.732.142,86",$265.000.000,
682,2,,3,2,,106,0,,2,No definida,"$ 2.169.811,32",$230.000.000,
683,5,,3,2,1,78,78,,,$ 319.000 COP,"$ 6.074.358,97",$473.800.000,
684,5,Sobre planos,,,,,,,,,,,
685,4,,3,2,1,94,0,,3,$ 160.000 COP,"$ 4.202.127,66",$395.000.000,
686,5,,3,2,1,100,0,,2,No definida,$ 3.500.000,$350.000.000,
687,5,,3,3,1,126,126,,,$ 316.000 COP,"$ 5.396.825,4",$680.000.000,
688,3,,3,1,,75,0,,2,No definida,$ 3.400.000,$255.000.000,
689,3,,3,2,,66,0,,1,$ 195.000 COP,"$ 3.409.090,91",$225.000.000,
690,3,,3,1,,83,0,,2,No definida,"$ 3.602.409,64",$299.000.000,
691,4,,3,2,1,82,0,,,$ 300.000 COP,"$ 4.878.048,78",$400.000.000,
692,3,,3,2,,87,0,,3,No definida,"$ 4.022.988,51",$350.000.000,
693,4,Sobre planos,,,,,,,,,,,
694,5,,3,2,1,92,92,16 a 30 años,9,$ 364.000 COP,"$ 5.108.695,65",$470.000.000,
695,6,,4,4,2,305,0,más de 30 años,1,No definida,"$ 5.081.967,21",$1.550.000.000,
