,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
175,6,,3,2,2,83,83,9 a 15 años,6,$ 410.600 COP,"$ 7.771.084,34",$645.000.000,
176,5,,3,2,1,"84,7",0,,3,$ 280.000 COP,"$ 4.663.518,3",$395.000.000,
177,4,En construcción,,,,,,,,,,,
178,3,,2,1,,38,38,1 a 8 años,6,No definida,"$ 4.473.684,21",$170.000.000,
179,5,,3,2,2,121,121,1 a 8 años,,$ 464.000 COP,"$ 5.438.016,53",$658.000.000,
180,6,,2,2,1,65,65,16 a 30 años,5,$ 383.625 COP,"$ 8.153.846.153,85",$530.000.000.000,
181,6,,3,4,2,185,185,1 a 8 años,6,$ 650.000 COP,"$ 5.945.945,95",$1.100.000.000,
182,5,,3,2,1,61,61,1 a 8 años,,$ 260.000 COP,"$ 5.901.639,34",$360.000.000,
183,5,Sobre planos,,,,,,,,,,,
184,5,,5,5,1,230,0,,13,$ 1.120.000 COP,"$ 4.304.347,83",$990.000.000,Duplex
185,5,,3,4,1,124,124,1 a 8 años,4,$ 428.000 COP,"$ 7.556.451,61",$937.000.000,
186,5,,3,2,1,84,84,9 a 15 años,,$ 350.000 COP,"$ 5.059.523,81",$425.000.000,
187,6,,3,4,4,371,371,1 a 8 años,,No definida,"$ 8.625.336,93",$3.200.000.000,
188,3,,4,2,1,84,84,16 a 30 años,,$ 195.000 COP,"$ 4.404.761,9",$370.000.000,
189,4,Sobre planos,,,,,,,,,,,
190,5,,2,2,1,67,0,,4,$ 411.000 COP,"$ 6.268.656,72",$420.000.000,
191,6,,3,3,2,173,173,1 a 8 años,,$ 920.000 COP,"$ 8.092.485,55",$1.400.000.000,
192,5,En construcción,,,,,,,,,,,
193,6,,2,2,2,92,92,1 a 8 años,Otro,$ 535.200 COP,"$ 10.326.086,96",$950.000.000,
194,6,,3,3,2,167,167,más de 30 años,,$ 368.500 COP,"$ 4.011.976,05",$670.000.000,
195,5,,3,2,2,131,131,más de 30 años,,$ 881.000 COP,"$ 4.770.992,37",$625.000.000,
196,5,,4,2,1,76,0,,4,$ 243.000 COP,"$ 4.342.105,26",$330.000.000,
197,3,,3,2,1,113,113,más de 30 años,3,No definida,"$ 3.628.318,58",$410.000.000,
198,4,En construcción,,,,,,,,,,,
199,5,,3,2,1,84,84,9 a 15 años,,$ 350.000 COP,"$ 5.059.523,81",$425.000.000,
200,2,,2,1,,54,0,1 a 8 años,3,$ 10.000 COP,"$ 2.222.222,22",$120.000.000,
201,5,En construcción,,,,,,,,,,,
202,3,Bueno,3,2,1,58,58,9 a 15 años,11,$ 180.000 COP,"$ 3.965.517,24",$230.000.000,
203,3,,2,2,1,52,52,16 a 30 años,9,$ 177.000 COP,"$ 5.288.461,54",$275.000.000,
204,6,,2,2,1,80,80,16 a 30 años,,$ 401.000 COP,$ 6.250.000,$500.000.000,
205,4,Sobre planos,,,,,,,,,,,
206,6,,3,5,2,216,216,9 a 15 años,Otro,$ 934.000 COP,"$ 7.175.925,93",$1.550.000.000,Duplex
207,4,,2,2,,57,57,1 a 8 años,,$ 220.000 COP,"$ 4.298.245,61",$245.000.000,
208,2,,2,1,,54,0,1 a 8 años,3,$ 10.000 COP,"$ 2.222.222,22",$120.000.000,
209,5,,3,3,2,116,0,9 a 15 años,10,$ 450.000 COP,"$ 6.293.103,45",$730.000.000,
210,5,Sobre planos,,,,,,,,,,,
211,2,,1,1,,33,0,1 a 8 años,1,No definida,"$ 1.666.666,67",$55.000.000,
212,5,,3,3,1,114,114,,2,$ 150.000 COP,"$ 3.947.368,42",$450.000.000,
213,6,,2,2,1,87,87,,,No definida,"$ 12.149.425,29",$1.057.000.000,
214,4,,3,2,1,55,55,9 a 15 años,14,$ 194.500 COP,"$ 5.454.545,45",$300.000.000,
215,5,,1,1,,34,34,menor a 1 año,,No definida,"$ 8.529.411,76",$290.000.000,Loft
216,4,En construcción,,,,,,,,,,,
217,5,,3,3,2,120,120,,,$ 500.000 COP,"$ 6.541.666,67",$785.000.000,
218,4,,3,2,1,72,72,,4,$ 272.000 COP,"$ 4.861.111,11",$350.000.000,
219,5,,1,1,,40,40,menor a 1 año,,No definida,$ 8.000.000,$320.000.000,Loft
220,5,,3,3,1,126,126,16 a 30 años,2,$ 320.000 COP,"$ 5.158.730,16",$650.000.000,
221,5,,2,2,1,82,82,1 a 8 años,11,$ 330.000 COP,"$ 7.439.024,39",$610.000.000,
222,3,En construcción,,,,,,,,,,,
223,5,,3,2,1,89,89,más de 30 años,5,$ 300.000 COP,"$ 4.943.820,22",$440.000.000,
224,5,,1,1,,30,30,menor a 1 año,,No definida,$ 8.000.000,$240.000.000,Loft
225,4,,3,2,1,72,72,1 a 8 años,,No definida,"$ 5.208.333,33",$375.000.000,
226,5,,3,2,1,67,0,,4,$ 250.000 COP,"$ 6.776.119,4",$454.000.000,
227,5,,4,3,1,140,140,más de 30 años,1,$ 329.000 COP,"$ 4.142.857,14",$580.000.000,
228,6,,4,5,,134,134,,,No definida,"$ 7.164.179,1",$960.000.000,
229,6,,3,4,3,138,138,1 a 8 años,3,$ 1.080.000 COP,"$ 7.173.913,04",$990.000.000,
230,5,,2,2,1,70,70,1 a 8 años,,$ 280.000 COP,"$ 5.928.571,43",$415.000.000,
231,5,Sobre planos,,,,,,,,,,,
232,5,,2,1,1,75,75,más de 30 años,,$ 270.000 COP,$ 4.800.000,$360.000.000,
233,3,,2,1,,44,44,menor a 1 año,16,$ 230.000 COP,"$ 4.659.090,91",$205.000.000,
234,5,Sobre planos,,,,,,,,,,,
235,6,,4,5,2,205,0,9 a 15 años,,$ 1.300.000 COP,"$ 5.853.658,54",$1.200.000.000,
236,6,,3,4,2,128,1,1 a 8 años,Otro,$ 494.000 COP,$ 7.500.000,$960.000.000,
237,5,,3,2,1,62,0,1 a 8 años,12,No definida,"$ 8.064.516,13",$500.000.000,
238,3,En construcción,,,,,,,,,,,
239,4,,4,4,2,158,158,16 a 30 años,,No definida,"$ 6.012.658,23",$950.000.000,
240,3,,3,1,,70,0,,4,No definida,"$ 3.571.428,57",$250.000.000,
241,6,,3,4,2,150,0,9 a 15 años,,$ 616.000 COP,"$ 4.866.666,67",$730.000.000,Loft
242,5,,2,2,1,66,66,,13,$ 296.000 COP,"$ 5.303.030,3",$350.000.000,
243,4,En construcción,,,,,,,,,,,
244,5,,4,3,1,96,96,,3,No definida,"$ 4.270.833,33",$410.000.000,
